custid,retained,esent,eopenrate,eclickrate,avgorder,ordfreq,favday
6H6T6N,0,29,100,3.448275862,14.52,0,Monday
APCENR,1,95,92.63157895,10.52631579,83.69,0.181640625,Friday
7UP6MS,0,0,0,0,33.58,0.059907834,Wednesday
7ZEW8G,0,0,0,0,54.96,0,Thursday
8V726M,1,30,90,13.33333333,111.91,0.008849558,Monday
2B6B83,1,46,80.43478261,15.2173913,175.1,0.141176471,Wednesday
99XGVM,1,60,43.33333333,6.666666667,116.55,0.125,Friday
U3MP5L,1,64,28.125,15.625,68.1,0.04009434,Friday
ELKAGQ,1,45,0,0,46.6,0,Wednesday
3SBQP2,1,34,94.11764706,8.823529412,66.07,0.133789063,Monday
YMALVV,1,48,83.33333333,2.083333333,89.04,0.086655113,Friday
GW8NT7,1,40,87.5,45,88.3,0.088477366,Wednesday
TFKLD4,1,69,2.898550725,2.898550725,126.81,0.059431525,Monday
RAQ92T,1,38,36.84210526,23.68421053,116.77,0.078947368,Tuesday
DMJERJ,0,16,12.5,0,59.25,0.129353234,Tuesday
FJKD8W,1,45,60,15.55555556,49.73,0.044247788,Wednesday
HEPCW7,0,13,61.53846154,15.38461538,156.54,0.119113573,Monday
2JZAE3,1,48,8.333333333,2.083333333,101.06,0.037800687,Monday
BYS2DU,1,57,17.54385965,0,14.02,0.066009852,Monday
F6MHUM,1,46,65.2173913,8.695652174,79.39,0.069838057,Thursday
LSL6QK,0,0,0,0,29.17,0,Monday
9SVNMF,1,47,2.127659574,0,79.88,0.006932409,Wednesday
JPBBEP,1,47,19.14893617,10.63829787,115.25,0.138888889,Wednesday
3ML22U,0,0,0,0,76.67,0.007017544,Tuesday
N297FU,0,0,0,0,35.86,0.006024096,Tuesday
JD96M8,1,18,0,0,85.61,0.08,Tuesday
PLM5WZ,0,0,0,0,75.54,0.007072136,Monday
F3MF5Y,1,31,100,9.677419355,59.67,0.016427105,Thursday
2GHDRJ,1,46,6.52173913,4.347826087,59.11,0.015701668,Friday
KZHTJ7,1,49,36.73469388,20.40816327,33.87,0.026392962,Monday
WXBP2F,1,16,0,0,64.82,0.071428571,Tuesday
RJYYJ9,1,45,11.11111111,0,60.94,0,Tuesday
MZ8L3N,1,40,2.5,2.5,94.28,0.021929825,Thursday
UCVGQ9,1,48,12.5,2.083333333,103.39,0.013157895,Monday
4W84UJ,0,0,0,0,15.64,0,Tuesday
LMVN3V,1,45,17.77777778,2.222222222,117.97,0.03255814,Thursday
CZTUVU,1,47,2.127659574,0,37.24,0.036809816,Wednesday
3TJT3R,1,16,0,0,165.95,0.007434944,Friday
Q7RV8W,1,45,0,0,74.74,0,Friday
D5SNFS,0,0,0,0,178.44,0.045203969,Wednesday
ANEWZC,0,0,0,0,43.54,0,Tuesday
ZKL5JF,0,0,0,0,103.64,0.016172507,Thursday
EEKG4H,0,0,0,0,28.63,0,Wednesday
AZJTMQ,0,0,0,0,21.97,0,Thursday
HGBG96,0,0,0,0,87.05,0.021276596,Tuesday
W97W6Q,1,48,2.083333333,2.083333333,35.73,0.026008969,Tuesday
LGA8JT,1,50,10,4,33.38,0.005380477,Monday
RZQEWF,1,45,0,0,22.92,0,Wednesday
D4AEL5,0,0,0,0,125.97,0.035911602,Monday
3PST7V,0,0,0,0,37.01,0.047619048,Friday
T6ZAER,0,0,0,0,61.85,0.269230769,Friday
C55RAB,0,0,0,0,101.3,0,Wednesday
YRHUHV,1,53,3.773584906,3.773584906,151.27,0.094653812,Tuesday
8SK2UB,1,18,0,0,58.57,0.166666667,Monday
HZS3AJ,0,0,0,0,55.9,0,Thursday
GXDXR6,1,18,0,0,132.31,0.027472527,Monday
LE9M9X,1,16,0,0,91.9,0,Monday
B2LW75,1,16,0,0,39.16,0,Friday
BNE3YV,1,23,95.65217391,0,68.82,0.032644178,Monday
LJJEMA,1,34,14.70588235,0,44.05,0,Tuesday
EBNK8A,0,0,0,0,184.37,0,Wednesday
Z4YCW4,1,41,43.90243902,0,27.11,0.065408805,Thursday
FNWU29,0,0,0,0,65.77,0.018891688,Wednesday
ARR4H6,1,42,26.19047619,2.380952381,44.97,0.006144393,Tuesday
RACF5D,0,0,0,0,69.69,0,Thursday
64QBT7,0,33,75.75757576,0,49.76,0.214285714,Tuesday
GK3EST,1,16,0,0,81.95,0,Wednesday
W3TM2U,0,0,0,0,134.18,0.015217391,Tuesday
MLX3EU,1,14,0,0,63.18,0,Thursday
BXWS2B,1,45,77.77777778,20,42.62,0.064372919,Monday
C8UJQ3,1,16,0,0,23.79,0,Wednesday
PFCF8Q,1,46,93.47826087,15.2173913,165.07,0,Tuesday
NJR788,0,0,0,0,29.68,0,Tuesday
J8SLPE,1,45,4.444444444,2.222222222,39.41,0.006711409,Friday
GYH5AF,1,47,2.127659574,0,73.07,0,Friday
4QRWVB,1,18,0,0,50.87,0.072222222,Wednesday
VMYYX9,0,0,0,0,35.09,0.09375,Monday
CF5K35,1,42,38.0952381,0,85.37,0.076923077,Monday
XQK2CK,0,0,0,0,60.3,0,Thursday
FM7VFL,1,44,25,11.36363636,117.32,0.032786885,Friday
7PEMUD,1,47,0,0,105.45,0.003707136,Tuesday
A3XBE,1,45,6.666666667,2.222222222,165.23,0.010526316,Monday
EQSD5E,1,45,6.666666667,0,52.4,0,Tuesday
CT3NDS,1,39,87.17948718,12.82051282,30.48,0.015732547,Tuesday
C6HVXN,1,16,0,0,33.57,0,Thursday
ARP 342.00,0,0,0,0,83.04,0,Monday
7PALQK,0,0,0,0,54.82,0.076190476,Thursday
S5DZ4Y,1,47,2.127659574,0,20.54,0.008403361,Monday
Z7QFN7,1,16,0,0,53.36,0,Friday
TGYGPC,1,42,16.66666667,2.380952381,27.74,0.005617978,Friday
DVRYSK,0,0,0,0,25,0,Thursday
HTJNCB,1,39,35.8974359,0,130.51,0.021505376,Tuesday
3VCXN,0,0,0,0,141.97,0.015873016,Monday
SGU3PB,0,0,0,0,47.5,0.010126582,Thursday
PXXTWN,0,0,0,0,111.86,0.054263566,Tuesday
U9ZQQP,1,46,19.56521739,10.86956522,29.73,0.006485084,Tuesday
M87HQT,0,0,0,0,109.16,0.022988506,Monday
564EL5,0,0,0,0,27.6,0,Thursday
S7B2TP,1,38,28.94736842,18.42105263,54.62,0,Friday
PA38W9,0,0,0,0,37.2,0,Thursday
5DDKKP,1,40,22.5,0,139.88,0,Friday
BUMVQN,0,0,0,0,57.3,0,Monday
ZPR8KQ,1,52,3.846153846,1.923076923,59.35,0.020530368,Monday
EG43ET,1,34,79.41176471,17.64705882,44.25,0.014005602,Monday
QKYBFL,1,18,0,0,18.42,0.203125,Thursday
2NV3SY,1,40,25,0,302.43,0,Thursday
YUA6VH,1,47,2.127659574,0,50.79,0.272727273,Friday
ME8GM2,1,37,5.405405405,5.405405405,57.22,0.00655308,Wednesday
ELJFL7,1,41,21.95121951,14.63414634,72.66,0.01863354,Wednesday
37TL6Y,1,16,0,0,71.96,0.285714286,Friday
VSDFDY,1,16,0,0,37.81,0.083333333,Friday
XWM9F2,1,42,23.80952381,0,16.14,0,Monday
248PRB,1,45,22.22222222,8.888888889,104.22,0.012897678,Wednesday
EDHT4T,1,42,23.80952381,0,86.73,0.103448276,Monday
2K94VS,1,44,29.54545455,0,30.57,0,Friday
PBCL4J,0,0,0,0,23.65,0,Tuesday
E3JPX3,0,0,0,0,120.14,0.714285714,Thursday
5CLFNM,1,46,6.52173913,0,70.32,0.019283747,Monday
S8J2KD,0,0,0,0,57.76,0,Wednesday
SJKEYZ,1,47,17.0212766,6.382978723,55.18,0.020484171,Wednesday
PCM3GS,1,48,4.166666667,0,96.37,0.007792208,Monday
4YUT8B,0,0,0,0,55.68,0,Friday
WYPLUJ,1,16,0,0,20.2,0,Monday
6FR5QW,0,0,0,0,29,0,Thursday
ETU955,1,11,27.27272727,18.18181818,38.46,0.222222222,Monday
3WEGJ4,1,22,4.545454545,4.545454545,36.48,0.009608785,Monday
HFLKGD,1,18,0,0,51.3,0.045112782,Friday
CXU7AW,0,0,0,0,171.7,0.060606061,Tuesday
Y4JALT,1,34,64.70588235,2.941176471,93.96,0.019607843,Friday
6ZHF73,0,0,0,0,67.95,0.018735363,Wednesday
UTLGDS,1,47,2.127659574,0,110.02,0.04704797,Tuesday
F3ANT8,1,47,0,0,37.35,0.016260163,Thursday
UH5A8N,0,0,0,0,21.98,0.052631579,Friday
72EG38,0,0,0,0,147.35,0.45,Friday
DEHQEB,0,0,0,0,99.47,0.022900763,Wednesday
HU4SHX,0,0,0,0,75.83,0.041758242,Friday
ZGNKU4,1,32,87.5,6.25,27.77,0.025396825,Monday
9B2NQX,0,0,0,0,83.85,0,Thursday
HSZGYK,1,41,56.09756098,0,13.73,0.111111111,Monday
FVHPYJ,0,2,50,0,31.04,0,Monday
SKUYV,1,67,25.37313433,8.955223881,85.66,0.11665005,Monday
FCX4A7,1,39,87.17948718,12.82051282,101.64,0.005617978,Monday
2CQ42Z,1,47,0,0,44.94,0.2,Wednesday
9HRV46,1,44,4.545454545,0,50.94,0,Monday
TNDHYE,1,46,4.347826087,4.347826087,56.53,0.142857143,Wednesday
P4SHNX,1,34,23.52941176,8.823529412,41,0,Thursday
,1,47,0,0,121.11,0,Wednesday
XFM2UU,0,0,0,0,129.76,0,Friday
FYKE6T,1,45,4.444444444,0,46.46,0.039591315,Tuesday
9HNPDF,1,16,0,0,49.8,0.111111111,Friday
3PMDNS,0,0,0,0,28.37,0,Wednesday
QDTHZ3,0,0,0,0,27.57,0,Tuesday
85JTA,1,45,2.222222222,0,63.28,0.00877193,Monday
YACQB7,0,1,0,0,87.01,0.083888149,Monday
UA88SV,1,45,11.11111111,0,55.71,0.007594937,Thursday
M43V97,0,0,0,0,30.63,0,Tuesday
BRZQNB,1,38,28.94736842,0,28.7,0.089977221,Wednesday
6GK8ZP,0,0,0,0,26.25,0,Monday
AXS66R,1,72,30.55555556,0,80.06,0.175473579,Monday
C9S2QZ,1,51,19.60784314,13.7254902,53.37,0.122126437,Wednesday
BTE8SJ,1,43,6.976744186,6.976744186,52.63,0.078947368,Tuesday
6C69AH,0,0,0,0,142.5,0,Friday
MFGEYU,0,0,0,0,64.77,0.028169014,Thursday
SBJSTR,0,0,0,0,53.95,0,Tuesday
4P69JL,0,0,0,0,70.83,0.018838305,Monday
Y3Q9RE,0,0,0,0,49.76,0,Friday
SH97N,0,41,21.95121951,0,71.57,0.119047619,Monday
F8CALQ,1,40,5,0,48.29,0,Thursday
AZ48MV,1,39,7.692307692,2.564102564,105.92,0.033333333,Friday
VZSLYC,0,0,0,0,180.43,0.043859649,Friday
9FT8PL,0,0,0,0,151.63,0.057077626,Friday
6B6RCS,0,0,0,0,47.16,0,Wednesday
AL2LGA,0,0,0,0,52.62,0,Wednesday
7VK6PX,1,41,14.63414634,2.43902439,41.29,0,Wednesday
FHKQJY,0,28,21.42857143,0,30.09,0,Thursday
2WCFBU,0,27,62.96296296,0,72.78,0.19047619,Wednesday
BWVPGQ,1,46,4.347826087,2.173913043,103.83,0,Tuesday
X3299E,1,48,10.41666667,8.333333333,132.43,0.052274927,Tuesday
KJ8J2C,0,0,0,0,63.9,0,Tuesday
BJAPV3,0,0,0,0,53.85,0.060803474,Friday
,0,14,100,21.42857143,60.97,0,Tuesday
VJYRQ8,0,0,0,0,48.81,0.244444444,Thursday
3ETY2H,0,0,0,0,67.94,0,Thursday
BSC6KU,1,45,0,0,71.56,0.004201681,Tuesday
ABHHAT,0,0,0,0,49.83,0,Friday
RH5VGB,1,18,0,0,40.97,0.016172507,Friday
ER99UJ,1,53,3.773584906,1.886792453,85.39,0.014828545,Monday
86SLAH,1,38,39.47368421,15.78947368,52.15,0,Thursday
TJJPG,1,31,100,19.35483871,103.97,0.047193878,Thursday
GCXDYV,0,0,0,0,35.82,0.333333333,Tuesday
8REF6A,0,0,0,0,33.81,0.178571429,Thursday
JD489B,1,36,58.33333333,0,30.36,0,Wednesday
Y6C6NW,1,32,93.75,0,74.45,0.009943182,Monday
UDKBWA,1,60,30,8.333333333,147.77,0.122669284,Friday
Z3M84Z,0,0,0,0,16.09,0.034632035,Tuesday
JJH6BE,0,13,100,46.15384615,74.59,0.039864292,Friday
FEUEP6,1,47,4.255319149,4.255319149,48.01,0.006796117,Monday
CGUZKY,1,48,2.083333333,0,228.24,0.075835476,Monday
S6MWEQ,1,48,16.66666667,10.41666667,49.81,0.010861133,Friday
646VZ8,1,16,0,0,79.25,0.333333333,Monday
BCERB3,1,45,8.888888889,2.222222222,50.49,0.074747475,Friday
3EEP8A,1,16,0,0,51.31,0.01980198,Wednesday
3F2G9G,1,45,0,0,41.81,0,Monday
2Z2YX3,1,47,31.91489362,4.255319149,34.51,0.008635579,Wednesday
SHVHNF,1,46,13.04347826,0,48.65,0.022058824,Friday
ESAZ2K,0,0,0,0,59.7,0.108433735,Monday
FWCQ9Y,1,44,45.45454545,11.36363636,54.35,0.051671733,Tuesday
GZVBPC,1,41,29.26829268,4.87804878,50.46,0.016806723,Tuesday
42D2Z3,1,45,6.666666667,2.222222222,25.93,0,Tuesday
4A6UZV,1,16,0,0,57.74,0.068965517,Wednesday
RLV55D,1,44,6.818181818,0,200.24,0,Wednesday
TRAJBC,0,14,14.28571429,0,49.97,0,Monday
6ERUQ9,1,37,70.27027027,0,40.66,0.005082592,Thursday
QQNM35,0,0,0,0,168.93,0.011792453,Monday
K2D4ZQ,0,0,0,0,50.73,0,Wednesday
ZUN4CF,1,52,17.30769231,5.769230769,90.59,0.015544041,Monday
HA7L95,1,51,1.960784314,0,63.53,0.020018198,Wednesday
2DHFAA,1,46,0,0,149.33,0.02917505,Thursday
39CMML,1,42,14.28571429,2.380952381,99.97,0.208333333,Tuesday
6BMRPY,1,47,10.63829787,0,115.96,0.037037037,Monday
H4WLGH,0,0,0,0,27.98,0,Friday
NHKUWG,0,0,0,0,113.96,0,Tuesday
FY7APA,1,49,10.20408163,2.040816327,267.6,0.032620922,Thursday
4SHS8Y,1,45,2.222222222,2.222222222,24.22,0,Thursday
RXMSBK,1,43,55.81395349,11.62790698,151.39,0.031578947,Friday
GHMBPA,1,49,24.48979592,20.40816327,222.53,0.048042705,Friday
D28LME,1,45,13.33333333,4.444444444,56.34,0.125,Thursday
M8Q4EG,1,40,95,60,54.08,0.032838983,Tuesday
65G389,0,0,0,0,124.49,0,Thursday
KVJEXA,0,0,0,0,40.04,0,Thursday
8A342G,0,0,0,0,70.71,0.137030995,Monday
7BB7ZR,1,42,33.33333333,7.142857143,94.99,0.009009009,Wednesday
65EAS4,0,0,0,0,28.05,0,Thursday
3TNEAE,0,0,0,0,163.06,0.01490313,Tuesday
2H4RC9,1,37,51.35135135,0,59.09,0.090909091,Monday
A7364F,1,45,0,0,52.49,0,Tuesday
PBK32R,0,0,0,0,77.01,0.111111111,Friday
7CBQ2W,1,39,20.51282051,10.25641026,38.04,0.091836735,Wednesday
UNMYM8,1,36,94.44444444,36.11111111,62.29,0.050104384,Monday
82Q7J6,1,44,4.545454545,2.272727273,55.17,0,Thursday
GKWDJY,1,46,17.39130435,0,77.39,0.013961606,Wednesday
GMNSTA,1,46,6.52173913,0,129.75,0.087301587,Friday
Y9VA4R,0,0,0,0,55.83,0,Thursday
9P3HVN,0,0,0,0,30.48,0.040816327,Friday
5PS3UW,0,0,0,0,11.85,0,Wednesday
TZNPMU,0,0,0,0,74.48,0,Thursday
BYHM8G,0,0,0,0,25,0,Friday
EC5ERN,1,47,2.127659574,0,38.44,0,Friday
K3R5LT,1,37,56.75675676,0,127.05,0.073463268,Tuesday
WKEJJN,1,45,6.666666667,0,33.74,0,Wednesday
7MMQEQ,0,0,0,0,150.72,0,Friday
WVAKEN,1,65,9.230769231,4.615384615,113.24,0.094777563,Tuesday
K5GVT2,0,0,0,0,148.08,0.055702918,Monday
ZMZ7DK,0,0,0,0,11.75,0,Thursday
Z265R8,1,48,100,43.75,79.84,0.068027211,Monday
T2GYG8,1,45,0,0,97.5,0.142857143,Monday
M8U3QB,0,0,0,0,58.7,0.011484099,Tuesday
LXRHC4,0,0,0,0,27.3,0,Thursday
LNBRUD,1,16,0,0,27.59,0,Tuesday
XLFBDZ,1,45,15.55555556,2.222222222,102.96,0.069284065,Wednesday
CQ3US7,1,16,0,0,51.19,0,Thursday
JKBYXZ,0,0,0,0,71.47,0.041666667,Friday
EGDX6M,0,0,0,0,50.56,0,Wednesday
EN4MUH,1,40,75,17.5,107.77,0.086666667,Friday
Z7ZY9P,1,45,2.222222222,0,72.44,0.05,Monday
ERXWY7,0,0,0,0,40.64,0.142857143,Thursday
FA9CFV,0,0,0,0,148.35,0.064475348,Monday
TGP5A2,0,0,0,0,64.2,0.007587253,Wednesday
FMY3SW,1,49,4.081632653,2.040816327,81.08,0.011755486,Monday
SHU2VD,1,16,0,0,15.21,0,Thursday
H627V9,0,0,0,0,4.49,0,Monday
WFUZ8U,0,0,0,0,43.8,0.014778325,Friday
7W8BMP,1,43,30.23255814,4.651162791,74.38,0.009852217,Monday
QM49AX,0,0,0,0,55.69,0,Friday
JYRLK2,0,0,0,0,71.65,0.011970534,Thursday
9UK7YJ,1,48,16.66666667,0,70.13,0.009287926,Monday
NRB8K8,0,0,0,0,29.59,0,Monday
US5RN,0,0,0,0,46.69,0.017295597,Wednesday
4RAFVU,1,18,0,0,67.82,0.02994012,Friday
GM44U,1,44,59.09090909,29.54545455,57.22,0.033613445,Tuesday
3KYBN3,1,53,15.09433962,3.773584906,119.3,0.075253256,Monday
ETK8AW,1,44,4.545454545,0,55.93,0,Friday
8QBYR7,1,45,0,0,72.81,0,Wednesday
8Z7CKG,0,0,0,0,48.47,0,Monday
Q25K8R,1,16,0,0,148.13,0,Tuesday
UZNQDU,0,0,0,0,70.84,0.076923077,Tuesday
FPHN67,1,46,15.2173913,13.04347826,111.22,0.017977528,Friday
FYHVE7,0,0,0,0,27.57,0.043269231,Friday
SCXMXZ,0,0,0,0,26.32,0.012114537,Thursday
DWPL92,0,0,0,0,79.75,0.018587361,Monday
UWY3KK,0,0,0,0,72.54,0,Monday
UFLLRP,0,0,0,0,64.82,0.027355623,Friday
MEP6FK,1,18,0,0,43.61,0.038461538,Tuesday
WVJJ44,1,52,17.30769231,3.846153846,71.13,0.033630069,Thursday
C3KMVW,1,36,16.66666667,5.555555556,56.77,0.074074074,Tuesday
8PXJ72,1,47,0,0,70.79,0.095238095,Wednesday
L2ZNN,1,16,0,0,40.94,0.088235294,Tuesday
5JR3AY,1,46,17.39130435,6.52173913,82.32,0.041666667,Friday
TWKFUR,0,0,0,0,72.2,0.005390836,Wednesday
4PNN56,1,44,40.90909091,4.545454545,89.79,0.015544041,Thursday
4F3BT2,0,0,0,0,28.62,0.090909091,Monday
RXKZVE,0,0,0,0,91.63,0,Thursday
PPDTZE,0,0,0,0,52.38,0.013333333,Thursday
NX7HYA,1,45,13.33333333,2.222222222,34.95,0.095348837,Tuesday
9XVFJJ,0,3,0,0,99.89,0.008152174,Wednesday
FB4PJW,0,0,0,0,121.61,0,Friday
QL9PSC,1,47,0,0,125.92,0,Thursday
DWGB2Q,0,0,0,0,14.96,0,Thursday
STQ4SH,1,42,16.66666667,7.142857143,50.8,0,Friday
N4VBT7,0,0,0,0,129.44,0.150684932,Tuesday
W3VPAX,1,53,16.98113208,1.886792453,67.59,0.055984556,Monday
R6QJPU,1,87,24.13793103,0,223.44,0.132564841,Monday
7ZCEQN,1,47,6.382978723,4.255319149,81.71,0.007763975,Monday
YL47UD,1,44,77.27272727,6.818181818,185.46,0.077687444,Monday
KCASF,1,51,9.803921569,0,115.79,0.009646302,Tuesday
ZM5BDS,1,41,31.70731707,2.43902439,20.82,0.054421769,Monday
DJ2QXR,1,41,63.41463415,9.756097561,33.07,0.006227758,Friday
2BQXSC,1,18,0,0,52.06,0.357142857,Wednesday
AMT8MV,1,16,0,0,98.3,0,Wednesday
CXPLJB,1,49,65.30612245,0,59.31,0.047389558,Tuesday
VUR4L4,1,41,34.14634146,4.87804878,19.68,0,Thursday
QDG9MY,1,37,72.97297297,8.108108108,106.23,0.05200341,Monday
CHJN4U,1,45,8.888888889,2.222222222,55.26,0.014460512,Friday
AZ8E27,0,0,0,0,73.72,0.095238095,Tuesday
Z54GNQ,1,40,35,10,62.32,0.032292788,Wednesday
9HMVH7,0,0,0,0,11.25,0,Wednesday
JYBHXW,0,0,0,0,59.25,0.017825312,Monday
C9V4MT,1,18,0,0,48.22,0.25,Friday
88JEZ2,1,29,100,0,50.35,0.015384615,Tuesday
FB3GAM,1,40,57.5,7.5,90.62,0.009296149,Wednesday
XZSUKT,1,43,11.62790698,0,83.03,0,Tuesday
NY4TW3,0,0,0,0,91.1,0,Wednesday
JS4MBC,1,37,64.86486486,8.108108108,144.31,0,Thursday
99TK9F,1,38,52.63157895,21.05263158,73.52,0.027190332,Tuesday
5YZ4UZ,1,46,10.86956522,2.173913043,52.86,0.034391534,Wednesday
XJSFYQ,0,0,0,0,44.53,0,Wednesday
3QR9VM,1,49,8.163265306,4.081632653,40.34,0.081318681,Tuesday
RY25HC,1,52,82.69230769,9.615384615,153.76,0.145833333,Monday
LCTQVP,1,44,9.090909091,2.272727273,84.37,0.006012024,Thursday
VGB2M5,0,0,0,0,113.27,0.006934813,Tuesday
C35J8F,1,38,39.47368421,0,58.94,0.010204082,Wednesday
YYDXWL,1,33,42.42424242,27.27272727,70.92,0.136363636,Tuesday
UTPC2U,0,0,0,0,31.64,0,Thursday
DJREAZ,1,40,32.5,0,126.37,0.011494253,Friday
7FE5T7,1,60,36.66666667,1.666666667,112.45,0.088183422,Monday
H3L4LY,0,0,0,0,66.7,0,Friday
Y22C4M,0,0,0,0,79.47,0,Monday
RSGREY,0,0,0,0,97.24,0.105128205,Wednesday
HB9UA9,1,48,4.166666667,2.083333333,51.34,0.018957346,Wednesday
XSDMCQ,0,0,0,0,10.59,0,Friday
YZTLRZ,0,1,0,0,71.37,0.020547945,Monday
HPBZSK,1,45,35.55555556,13.33333333,98.47,0.008264463,Thursday
NHVUPZ,1,35,71.42857143,0,69.88,0.025449102,Friday
VFTJAL,1,49,44.89795918,18.36734694,59.24,0.114688129,Wednesday
BA9WF4,0,0,0,0,102.65,0,Tuesday
9LGVXN,0,0,0,0,23.7,0,Tuesday
4E8TGD,0,0,0,0,26.94,0,Thursday
7PE6AR,1,36,91.66666667,25,92.48,0.027577938,Tuesday
NJPHTE,1,16,0,0,25.52,0,Friday
TGWTW8,1,16,0,0,15.48,0,Monday
M6PGMB,1,46,80.43478261,15.2173913,80.94,0.138033764,Tuesday
VVH4YT,1,44,18.18181818,4.545454545,62.94,0.014285714,Tuesday
4HABM2,0,0,0,0,91.45,0.112903226,Tuesday
HD7NQU,0,0,0,0,36.31,0.00621118,Wednesday
5D8M6S,1,36,0,0,40.02,0,Monday
C3D4QG,1,40,10,2.5,52.28,0,Tuesday
T59R2Q,0,0,0,0,57.52,0.106666667,Thursday
Y3EBM4,1,37,8.108108108,2.702702703,40.02,0,Tuesday
HAQYHL,1,50,30,8,77.21,0.022243714,Tuesday
YDP7LU,1,43,9.302325581,0,25.54,0,Thursday
78EJ95,1,16,0,0,10.84,0,Monday
X2K9MM,1,47,4.255319149,2.127659574,143.94,0.014195584,Tuesday
8KXDU9,0,0,0,0,105.61,0.006681514,Thursday
GJFZFD,1,44,52.27272727,15.90909091,48.95,0.134212568,Thursday
3WU4K3,1,44,6.818181818,6.818181818,62.95,0.002478315,Monday
H5KJWT,1,43,6.976744186,0,63.36,0,Friday
GJ3JA,1,48,18.75,0,122.32,0.090517241,Friday
GFJ5ND,0,0,0,0,50.11,0.03125,Tuesday
3AYRK7,0,0,0,0,64.25,0,Thursday
76LYZC,0,0,0,0,100.9,0.0875,Tuesday
YGQ6U8,1,16,0,0,30.6,0,Wednesday
ECZHGM,1,41,39.02439024,0,41.39,0.011235955,Wednesday
9W38NT,0,0,0,0,53.17,0,Friday
FDJN5T,1,43,6.976744186,0,143.08,0,Thursday
3DFKSX,1,16,0,0,49.66,0,Monday
HTQWKM,0,0,0,0,34.14,0,Thursday
QHYLTG,1,46,6.52173913,6.52173913,56.98,0.025210084,Tuesday
JVU2AH,0,0,0,0,51.73,0.075213675,Tuesday
4DEM7M,0,18,44.44444444,0,126.18,0.082644628,Thursday
93KACP,1,39,71.79487179,10.25641026,81.23,0.044025157,Tuesday
MWGUXQ,1,53,7.547169811,0,81.32,0.011976048,Friday
8WZ8A8,0,0,0,0,31.92,0,Tuesday
FMEFZ7,1,18,0,0,247.34,0.115384615,Wednesday
FFWE4U,1,16,0,0,13,0.058823529,Friday
Q7ACMY,1,16,0,0,58.46,0,Thursday
QADEQT,1,51,9.803921569,7.843137255,59.07,0.056055363,Monday
89SJHQ,1,38,52.63157895,2.631578947,121.99,0.009708738,Thursday
23PPYZ,1,47,0,0,59.12,0.357142857,Monday
YUSMJX,1,44,6.818181818,0,92.64,0,Tuesday
S7DA6V,1,47,0,0,64.18,0.015738499,Monday
2U2U5N,1,44,11.36363636,2.272727273,115.62,0.043222004,Wednesday
WJ6TZ6,0,0,0,0,77.14,0.00257732,Thursday
2MFZ2Z,1,18,0,0,132.15,0.06504065,Tuesday
NNERCU,0,0,0,0,97.81,0,Monday
BJHU3P,1,44,34.09090909,2.272727273,85.14,0.013377926,Thursday
53GLNJ,1,37,48.64864865,2.702702703,75.56,0.029850746,Friday
CSTPVM,1,41,29.26829268,7.317073171,27.57,0.052018634,Monday
MZWZKN,1,43,18.60465116,0,68.47,0,Thursday
YWQWA6,1,44,4.545454545,0,52.77,0,Monday
CAG6MN,1,45,0,0,71.37,0.042857143,Friday
SJG6A3,1,46,6.52173913,0,62.41,0,Tuesday
Z6TXLP,1,47,4.255319149,2.127659574,57.27,0.082105263,Monday
D5RWWS,1,45,0,0,45.1,0.004573171,Wednesday
YPFHGG,1,39,51.28205128,2.564102564,94.88,0.098674521,Monday
